date,price,close,high,low,open,volume,r,pattern
2025-10-24 06:00:00,111496.4921875,111496.4921875,111198.8671875,111277.9453125,0,,-0.00014351256989542094,no-pattern
2025-10-24 07:00:00,111111.8203125,111480.4921875,110839.984375,111480.4921875,0,,-0.0024605032793196813,no-pattern
2025-10-24 08:00:00,111116.984375,111206.53125,110770.6796875,111097.8515625,0,,0.00243520425058108,no-pattern
2025-10-24 09:00:00,111325.984375,111477.671875,111038.4609375,111125.328125,973201408,,-0.0012158083491158322,no-pattern
2025-10-24 10:00:00,111185.1953125,111342.21875,111102.890625,111337.765625,0,,-0.0008165808545328446,no-pattern
2025-10-24 11:00:00,111063.3984375,111251.3359375,110664.8984375,111157.765625,0,,0.005299981607137738,no-pattern
2025-10-24 12:00:00,111312.21875,111842.53125,110934.9609375,111150.4453125,1556836352,,-0.00357389458370605,no-pattern
2025-10-24 13:00:00,110897.4765625,111443.53125,110467.8671875,111308.734375,435646464,,-0.004410272014846228,no-pattern
2025-10-24 14:00:00,110167.1171875,110953.1171875,109832.2109375,110953.1171875,1395884032,,-0.003248617283686528,no-pattern
2025-10-24 15:00:00,110044.8046875,110593.2578125,110012.7265625,110209.0390625,541253632,,-0.0019060340327570202,no-pattern
2025-10-24 16:00:00,110277.1015625,110382.6640625,109866.6953125,110065.1015625,0,,0.0018663325876193682,no-pattern
2025-10-24 17:00:00,110281.2734375,110588.8671875,110258.2734375,110288.8828125,0,,0.0004688991715742219,no-pattern
2025-10-24 18:00:00,110640.734375,110640.734375,110195.2890625,110288.1796875,0,,0.0027118232811886855,no-pattern
2025-10-24 19:00:00,110626.46875,110941.1796875,110580.640625,110625.453125,525914112,,0.0004334832005490341,no-pattern
2025-10-24 20:00:00,110871.09375,110989.28125,110541.46875,110648.4375,0,,0.0011862772700705904,no-pattern
2025-10-24 21:00:00,111121.0234375,111121.0234375,110669.4609375,110905.3671875,373522432,,0.00024400314590522498,no-pattern
2025-10-24 22:00:00,111079.984375,111148.140625,110981.0,111113.4609375,74981376,,0.00013649206831445326,no-pattern
2025-10-24 23:00:00,111001.2421875,111163.3125,110926.578125,111064.984375,0,,-0.0008170515539731582,no-pattern
